accelerometer.x,accelerometer.y,accelerometer.z,gyro.x,gyro.y,gyro.z
1.311707,-0.71846,2.658565,0.11802,-2.02403,0.930175
1.234036,1.374655,0.777076,2.735271,-0.05285,-0.07643
1.986867,0.070147,3.297337,2.521321,1.737481,-0.01806
3.669598,6.690037,12.74838,-0.90732,-2.54366,0.225757
2.031552,5.506111,2.80075,-0.51774,-0.22062,0.196471
0.332138,2.958132,6.233208,-2.47893,2.689499,-0.40099
2.484272,4.148598,-2.52186,-4.47812,2.339669,-0.03712
-0.30218,5.726593,-5.88471,-3.19904,-1.54392,-0.12194
-2.96519,3.754205,-5.46083,-2.48728,-2.66442,0.746664
-5.60792,-2.05666,-2.22451,-2.22177,4.157783,0.161989
-0.40705,-5.32857,-5.92491,-2.32825,1.266035,-1.06175
0.464639,-4.99011,-5.89547,-1.01659,0.368783,-0.7409
0.780087,-2.98143,-6.43425,1.046016,-0.36891,0.146164
1.432001,-3.23787,-2.32228,2.749051,1.131598,0.978191
-0.39653,2.193027,12.04954,-0.29161,5.428759,0.383487
-8.46559,5.588535,9.923988,-2.11559,-1.22898,-1.60153
-2.18292,-4.31935,-3.82134,-0.28594,-0.68034,0.383405
0.02657,4.897982,-1.7614,0.663948,-1.89377,0.481493
-2.35577,6.157514,-8.19824,-0.30519,-5.23093,-0.32654
-1.05229,-1.79102,-7.52677,1.159056,-2.95517,-0.3868
-0.19086,-0.11006,-6.84884,1.236905,-0.75833,-0.79232
1.796368,0.793248,-5.86077,1.968823,1.562765,-0.35101
2.403092,-0.73425,-2.79506,3.658558,2.363771,-0.11632
3.596709,-1.75933,5.414672,4.809103,-1.12706,0.813946
0.553443,-0.22756,4.507653,0.502611,-2.15561,0.914898
-0.274,1.717762,2.118306,2.702231,0.223704,0.081494
1.290601,-1.47915,5.271358,1.503659,0.950757,-0.25191
3.521001,4.939484,7.824757,-0.48473,-2.17388,0.034517
2.646174,5.856326,2.156915,-0.72332,-0.13215,0.121974
2.300663,5.513303,4.524851,-1.70661,2.790093,-0.08255
0.544497,3.519537,-1.15149,-4.15646,2.559076,-0.14061
-0.9195,3.575553,-4.8664,-3.55641,-1.37842,-0.3463
-3.67728,3.226903,-6.08238,-2.52662,-3.2346,0.325489
-5.95557,-1.36843,-1.98135,-1.60879,3.164249,0.036412
-0.87178,-4.63301,-4.95635,-2.29176,1.814169,-1.14274
0.483729,-4.96622,-5.37722,-0.89162,1.026644,-0.93552
1.485406,-4.04859,-5.33967,0.869223,-0.09009,-0.16815
2.859719,-2.78397,-1.33943,1.877737,0.824982,1.241666
-0.55288,1.798628,9.702689,-0.22923,4.561964,0.492427
-7.68561,5.756,7.504646,-1.94893,0.189758,-1.43708
-3.33443,-4.09738,-2.24566,-0.17537,0.786506,0.551241
-1.98239,10.74399,-2.18176,-0.32537,-4.43071,-1.31083
-0.4017,-0.15914,-6.61824,0.140389,-3.97995,0.083863
0.304234,0.064116,-6.23063,1.308269,-2.41279,-0.53484
2.187365,2.055631,-6.77237,1.364527,-1.83309,-0.53414
2.488482,1.268252,-5.65158,2.144579,0.759851,-0.17898
2.773489,-2.16213,-2.48858,3.672121,1.92926,-0.03583
3.757143,-2.11387,5.336289,4.639144,-1.08841,0.79492
0.969342,-0.13672,3.203249,0.56676,-1.3279,0.901931
0.268487,2.826788,1.346641,3.00027,0.155326,0.589416
-1.38137,-0.59019,7.99284,1.644391,0.924471,-0.32295
2.636213,5.511151,6.058407,-0.34516,-1.54657,-0.08555
2.946688,4.92964,3.267338,-0.89791,-1.65089,0.254074
1.105594,3.807137,5.835122,-1.20265,1.622179,-0.43867
3.226754,4.696326,0.497584,-4.39721,2.781457,-0.22167
1.002529,4.123564,-4.83342,-3.29367,0.32379,-0.22745
-0.73249,2.935061,-5.32868,-2.56837,-2.27311,0.201898
-2.65817,0.594173,-4.75978,-1.90798,-0.99104,0.675212
-1.2771,-4.42858,-3.27528,-1.77095,3.22073,-0.04226
0.259042,-4.92148,-5.46814,-1.83107,1.332483,-0.77108
0.586436,-2.9648,-6.52295,-0.08526,0.31343,-0.07122
0.714511,-3.25658,-5.26237,2.144127,0.406999,0.704921
0.405383,-1.92726,10.11022,0.081016,5.792699,0.669034
-6.3401,8.253665,10.04857,-1.67288,0.43894,-1.57477
